company,date,rating,pros,cons,type,id,year,date2
British Red Cross Society,"Feb 12, 2019",2,Amazing team to work with. People who genuinely care about what they do.,Senior leadership team is incredibly dysfunctional. Toxic and bullying behaviour from certain members. A culture of fear in one directorate. It won't be long till a serious complaint is made. The technology is a farce and in any other organisation the director would have gone due to the multiple failings.,Charities,1107,2019,2019-02-12
British Red Cross Society,"Feb 13, 2019",3,"Great Values, principles and people",Corporate centre dominates the organisation,Charities,1108,2019,2019-02-13
British Red Cross Society,"Feb 18, 2019",4,"Working for an organisation that supports people in difficult situations. e.g. elderly people, refugees, children, etc","Hierarchical old-fashioned structure, difficult to progress within the organisation",Charities,1109,2019,2019-02-18
British Red Cross Society,"Feb 22, 2019",1,Great cause and good team with talented middle management,"There is a  culture of fear driven by the dysfunctional leadership team, some of them downright bullies without any consequences for the continued bad behaviour. No focus on staff development, senior management does not live any of the organisational values and the 'power of kindness' is nothing more than a tagline as there is little kindness shown towards own employees. The CEO does not hold his team accountable for...",Charities,1110,2019,2019-02-22
British Red Cross Society,"Feb 24, 2019",1,Great people who are dedicated to helping others and have like mind sets.,"Clueless managers who do not engage with the Services that they are deployed by leading to decent in the ranks.
Not interested in listening to their staff and therefore will never change.",Charities,1111,2019,2019-02-24
British Red Cross Society,"Mar 1, 2019",4,Nice atmosphere and manager. Always something to do,None I can think of,Charities,1112,2019,2019-03-01
British Red Cross Society,"Mar 7, 2019",3,Friendly staff and decent pay,unorganised training process and lack of connection with management,Charities,1113,2019,2019-03-07
British Red Cross Society,"Mar 8, 2019",2,"Great international and local work.
Lots of emergency fundraising appeals.
Great volunteers in the services.","No opportunity for progression or development. 
No diversity within the organisation.
Terrible management",Charities,1114,2019,2019-03-08
British Red Cross Society,"Mar 19, 2019",5,Get to work with others as a team along with getting to know the customers,Not always having enough volunteers on,Charities,1115,2019,2019-03-19
British Red Cross Society,"Apr 11, 2019",4,"You are genuinely helping people and you're working with incredibly smart, talented, kind people from various backgrounds.","Pay is terrible, and jobs can be very stressful.",Charities,1116,2019,2019-04-11
British Red Cross Society,"Apr 21, 2019",2,They do great research; be part of your community.,"No overall structure, so possibility of poor management by middle managers.",Charities,1117,2019,2019-04-21
British Red Cross Society,"May 1, 2019",4,"Great staff, gives you customer service and retail experience","Often there's nothing to do, can be quite slow",Charities,1118,2019,2019-05-01
British Red Cross Society,"May 7, 2019",3,brilliant people who do good work to help sick people,I have gained a degree in a field I want to move on to,Charities,1119,2019,2019-05-07
British Red Cross Society,"Jun 4, 2019",4,Great team and valuable work,A lot of priorities and all worthwhile,Charities,1120,2019,2019-06-04
British Red Cross Society,"Jun 18, 2019",5,The staff - all really  eager to help others,The I.T. systems were a bit behind the times,Charities,1121,2019,2019-06-18
British Red Cross Society,"Jun 20, 2019",3,"Fexi time
Working from home
Expenses paid
Friendly work environment
Some travelling","My experience with this company was a slippery slope. Although I was trying to be proactive, to follow the managerial guidance in project, my feedback was always negative. I can say I have received about 2-3 positive comments in my employment. While on the outside felt like I was receiving support, even if I was following the guidelines, I would still receive bad criticism. This started affected the quality of my work...",Charities,1122,2019,2019-06-20
British Red Cross Society,"Jun 30, 2019",1,"•	Still somewhat respected in the wider sector so quite easy to get another job elsewhere, especially if you're relatively senior. 
•	Pay at senior level is quite good
•	As you can see from below there's a massive amount wrong, but it remains one of the biggest and most important charities in the country. If you're really confident and in a position to take a senior role it could be a real career making opportunity...","A once really respected organisation, unfortunately it is going downhill fast. I was in a role that had me interact with lots of different parts of the organisation and while none of them are in a good place I’d say the cons vary a bit depending on where you are.

In general

Poor quality leadership/unfair advancement: especially at the higher echelons of the organisation leadership is shockingly mediocre, often promoted...",Charities,1123,2019,2019-06-30
British Red Cross Society,"Jul 4, 2019",4,You get to acquire lots of skills and meet great people.,Requires a lot of travel so might not be for everyone.,Charities,1124,2019,2019-07-04
Brooke Hospital for Animals,"Jan 22, 2017",2,"The friendliest colleagues I've ever had, both in UK and overseas- some of them are likely to become friends for life. HQ well located in London, fairly relax job, some opportunity to travel and work in unique, challenging situations.","Virtually no career evolution prospect within the organisation. 
One of the most risk-averse organisations I ever came across. 
Senior Leadership Team divorced from field work, CEO fails to inspire. 
HR not to be trusted.",Charities,1125,2017,2017-01-22
Brooke Hospital for Animals,"Feb 20, 2017",4,"When you are in the program team, you travel a lot.",The benefits are not the best.,Charities,1126,2017,2017-02-20
Brooke Hospital for Animals,"Jun 26, 2017",1,The pay and benefits are ok for charity sector.,"CEO and Senior Management lack knowledge, vision and direction, are not supportive to staff and overseas programmes, and seem more concerned with their own self-promotion and self-adulation.

Several restructures over past few years have  left the organisation in disarray, cost a huge amount of money and achieved little except leave staff demoralised, desperate to leave or have already left, with little trust or confidence...",Charities,1127,2017,2017-06-26
Brooke Hospital for Animals,"Aug 18, 2017",1,"A FEW YEARS AGO: a great organisation to work for - passionate, genuine and professional people.  An ambitious organisation that wanted to reconcile human and animal welfare and was supportive of its staff. True culture of trust and respect. Only good thing right now: competitive salaries.",An organisation that has lost its soul and many many of its greatest employees in the process. Lost its vision - multiple restructures without any clear rationale for any of them and some questionable recruitment at the senior leadership level. People being treated unfairly and undermined without anything being done about. CEO let their people down. Was a leader in its field. Not anymore.,Charities,1128,2017,2017-08-18
Brooke Hospital for Animals,"Oct 2, 2017",5,Great people and great work environment,Didn't have any cons during my experience,Charities,1129,2017,2017-10-02
Brooke Hospital for Animals,"Oct 3, 2017",3,"Niche organisation, scope to innovate, good location, wonderful colleagues, opportunity to visit some challenging places in the world.","Confused management, ineffective HR, too many changes in quick succession, Top brass lacking vision, minimal career progression.",Charities,1130,2017,2017-10-03
Brooke Hospital for Animals,"May 3, 2018",2,Great passion for animal welfare at a day to day level and overall committed staff,"Serious Lack of leadership particularly the relationship with Trustees and management team, go through the motions but don't have any real clue what to do",Charities,1131,2018,2018-05-03
Brooke Hospital for Animals,"Aug 15, 2018",5,"The best place to work, IT (Software Dev Team) has all the freedom to apply new tech, senior exec team are very supportive of technology. Everyone from CEO to field assessors are easily approachable and take interest in providing their inputs.",No cons in my time and role,Charities,1132,2018,2018-08-15
Brooke Hospital for Animals,"Nov 23, 2018",3,Friendly and passionate people. Opportunity to learn about international development.,Little trust in managers who are micromanaged by the senior team.,Charities,1133,2018,2018-11-23
Brooke Hospital for Animals,"Jan 14, 2019",1,"Good structured pay roll system, on time salary and allowances","Old style of management, totally authoritarian, no human value system and very gender insensitive, senior employees are not respected and treated well. Too much involvement of Directors in day to day functioning, micro management by leadership, covering up and wrong reporting, excesses of expenditure on other than programme activities. Its a dirty place to work and is making a fool of its donors in India",Charities,1134,2019,2019-01-14
Cancer Research UK,"Jan 5, 2017",4,"good place to work very friendly, welcoming and non judgemental. I work in the retail volunteering arm of the company.","need more pay, needs more funding",Charities,1243,2017,2017-01-05
Cancer Research UK,"Jan 6, 2017",4,High quality and passionate colleagues,Compensation struggles to keep up with rising cost of living in London,Charities,1244,2017,2017-01-06
Cancer Research UK,"Jan 17, 2017",2,Very good cause and full of great people,Seems to lack good leadership,Charities,1245,2017,2017-01-17
Cancer Research UK,"Jan 23, 2017",5,CRUK is a great organisation where you will be working with some of the brightest individuals in the charity sector. Since joining around 6 months ago I have been given the support and autonomy to do my role in a truly innovative and collaborative environment.,Working in the charity sector means compensation may struggle to keep up with living costs in London.,Charities,1246,2017,2017-01-23
Cancer Research UK,"Feb 2, 2017",4,"1) Flexible Schedule
2) Friendly coworkers and manager (my personal experience)
3) Looks good on a college application.","1) Some customers can be a tad difficult to deal with.
2) Needs better stock room management",Charities,1247,2017,2017-02-02
Cancer Research UK,"Feb 6, 2017",4,"Forward thinking, open and honest working environment.  Good support from management as and when required.  Good working from home flexibility.","Very busy role, training and development however could be improved for new starters.",Charities,1248,2017,2017-02-06
Cancer Research UK,"Feb 11, 2017",3,"I had quite a variety of tasks to complete - sorting clothes, working the till, processing new items, etc.","Sometimes the donated clothes weren't washed, other people didn't work a lot so you had to make up for them.",Charities,1249,2017,2017-02-11
Cancer Research UK,"Feb 17, 2017",2,Volunteer are great will do anything for you everyone hard working,let down all the time promised progression never happened,Charities,1250,2017,2017-02-17
Cancer Research UK,"Feb 18, 2017",5,"Nice people, good way to gain skills. Can learn how to stock, use tills, customer service and feel good about yourself that you are helping others. Good way of finding items in a charity shop before they go on shop floor","mainly old people who work there who do not know how to use the till even if they have been working there years, so young people are usually stuck on the till all day, not too bad if you do not mind this",Charities,1251,2017,2017-02-18
Cancer Research UK,"Mar 1, 2017",1,Networking is one of the good opportunities there. Most people come and go after short time as they learn and move on to better carrer path. Science is great and you get to see the latest news on cancer.,They bully people; No training is provided; no support from your manager; the HR is useless ;They spend money and resources in creating so many teams and sub teams and the idea of helping patients is berried behind the competition and career advancement;,Charities,1252,2017,2017-03-01
Cancer Research UK,"Mar 7, 2017",1,"I guess the cause is one of the best reasons to work there. For me it felt like I was working with a real purpose, helping to raise money to save lives.","On the day to day though, you can barely feel that purpose in what you're doing. The politics take much of your time when you're working there. I was expecting a charity to be a great place to work but it felt like a big ego fight between teams and individuals. There was some training, but the senior managers were not really invested in developing their direct reports. There were some people in the team with strong innovation...",Charities,1253,2017,2017-03-07
Cancer Research UK,"Apr 5, 2017",5,"The working environment was extremely positive. I thoroughly enjoyed my time there, as everyone is very friendly and supportive.","There were no cons, I learnt a lot during my time there.",Charities,1254,2017,2017-04-05
Cancer Research UK,"Apr 23, 2017",4,"Great atmosphere 
Great management 
Great Pay
Lovely people 
Real sense you're doing good","No free milk and tea and coffee 
Fast paced
Structured 9-5 but can go over 
Hotdesking",Charities,1255,2017,2017-04-23
Cancer Research UK,"May 21, 2017",1,"Working with wonderful volunteers, such a great atmosphere.","No chance to better yourself and climb the career ladder as they do not develop their employees, they would rather hire externally than internally.",Charities,1256,2017,2017-05-21
Cancer Research UK,"Jun 1, 2017",2,"Great team of staff and volunteers, and some lovely customers too.

Worthy cause.

Very hands on job and a great opportunity to gain or further your retail experience.

Always something happening in the shop, no two days are the same!","Too much gossip and backbiting going on between shops.  

Don't feel there is always enough encouragement and support from higher management.  Running these shops day in-day out can be very physically and emotionally draining. 

Shop staff can feel undervalued.  We are not just shop staff who operate a till and keep shelves and rails stocked up, we are cleaners, security guards, admin assistants, staff trainers, fundraisers,...",Charities,1257,2017,2017-06-01
Cancer Research UK,"Jun 5, 2017",1,No pros to speak of,"- Everything is run by favoritism and petty politics
- No one outside of upper management ever wants to be there
- Management constantly taunts you with being fired or if your a temp of being hired just to make you work harder
- Gossip, foul language, and petty squabbles run rampant
- Toxic environment that promotes unhealthy competition
- Only the top 2 or 3 processors have any opportunity and will not help you...",Charities,1258,2017,2017-06-05
Cancer Research UK,"Jun 5, 2017",1,"Very nice people in shops ,","I was taken in as a van driver , told it was ok to resign from my old job , which I did to start with cancer research, started in the Tuesday and got told I was sacked on the Thursday.  Reason given was a criminal conviction from 2011 . Yet I did declare I had unspent convictions on my application. Got told the weigh up the risk , it was a theft offence that's over 6 years old.. now they have made me unemployed ..",Charities,1259,2017,2017-06-05
Cancer Research UK,"Jun 5, 2017",5,great team work and listening management with many opportunity for team input to advise and improve strategy for clients and business connections,to be more pro active at reducing the amount of jobs worths that populate the staff and management. lose the deadwood and family connections,Charities,1260,2017,2017-06-05
Cancer Research UK,"Jun 19, 2017",4,"Exciting, motivating and dynamic work atmosphere",Not the best pay for the work!,Charities,1261,2017,2017-06-19
Cancer Research UK,"Jun 19, 2017",3,"Strong brand, high impact for a charity, good resources","Bureaucratic, poor benefits and remuneration",Charities,1262,2017,2017-06-19
Cancer Research UK,"Jun 25, 2017",5,Flexible and can vary every week.,At least for 3 months.,Charities,1263,2017,2017-06-25
Cancer Research UK,"Jul 20, 2017",2,"Many staff (usually below Senior Manager level) are dedicated to the cause whilst also being incredibly good at their jobs. The working atmosphere in the office is good and has a very sociable vibe.

The work life balance is great, with the opportunity for home working within a lot of roles.","It's very hard for people to climb the ladder, when people are constantly encouraged to 'play the game' which is essentially saying the right things to the right people (predominantly to those above you), as opposed to being judged on performance. The phrase was used to me in every 1:1 meeting with my manager, who was telling me I should do this more, which actually made me feel incredibly uncomfortable at times. People...",Charities,1264,2017,2017-07-20
Cancer Research UK,"Jul 27, 2017",4,Progressive organisation that's driven by a fantastic cause. They care about employee engagement and try to have open communication and lots going on for staff to get involved with. I personally had fantastic managers who supported my development.,"Sometimes try to do too many new, exciting initiatives without making sure the basics are solid first, leading to staff feeling overwhelmed or frustrated.",Charities,1265,2017,2017-07-27
Cancer Research UK,"Aug 9, 2017",4,CRUK has passionate and brilliant people working hard to beat cancer sooner.  The common goal and the sense of purpose makes CRUK an excited place to work.,People are very passionate about their work which can lead directorates/team working in silos.,Charities,1266,2017,2017-08-09
Cancer Research UK,"Aug 17, 2017",3,Great cause and potential for impact. Patient involvement is increasing in importance,"They hire intelligent, motivated and ambitious peopke then squash the motivation out of them. No recognition for work and no real structure for career development / progression.

A lot is expected for little reward. Senior leaders are uninspiring and, in some cases, verging on incompetent.",Charities,1267,2017,2017-08-17
Cancer Research UK,"Aug 23, 2017",5,really good company to work for.,cannot think of anything negative.,Charities,1268,2017,2017-08-23
Cancer Research UK,"Aug 30, 2017",4,"Brings together the best things about working for a large corporate organisation and the fulfilment you can only get working in the non for profit sector. Great, talented and dedicated people, clear and inspirational purpose and you get the tools you need to deliver in your role. Very people orientated culture and great investment into people development.","As with any charity, you need to be prepared for fewer financial incentives on offer, but career development opportunities are strong.",Charities,1269,2017,2017-08-30
Cancer Research UK,"Sep 15, 2017",4,"A great, inspiring and collaborative environment.",High pressure with continuous deadlines.,Charities,1270,2017,2017-09-15
Cancer Research UK,"Sep 20, 2017",3,Dedicated organisation and good work vibe,"Communications can be inconsistent, constant change in teams meaning work focus can be challenging",Charities,1271,2017,2017-09-20
Cancer Research UK,"Sep 21, 2017",5,"Very employee friendly - part-time considered at all levels, good working hours. 
Great org-wide mission to beat cancer sooner and it's amazing how clearly this is felt throughout the teams.",Too many meetings. Can feel a bit corporate versus other charities.,Charities,1272,2017,2017-09-21
Cancer Research UK,"Sep 25, 2017",4,"Wonderful culture - office full of bright, positive people who are there to make a difference.",Can take a long time to get things done.,Charities,1273,2017,2017-09-25
Cancer Research UK,"Sep 29, 2017",4,"Our purpose is unique, universal and clear - to beat cancer sooner. The vast majority of people working at CRUK are passionate about our cause and work incredibly hard to help us get closer to our goal.","Inevitably in an organisation so large, there are a lot of barriers to getting work done, and a tendency for teams to operate in silo. Its sometimes hard to get an understanding of the work that happens across the organisation in order to spot opportunities for efficiency or collaboration.",Charities,1274,2017,2017-09-29
Cancer Research UK,"Sep 30, 2017",2,The work life balance is good and there is a lot of flexibility to work from home. The salaries are very competitive for the charity sector and the pension is too. The majority of people below senior management level are decent and really want to achieve good results for the charity. The premises and location is good too.,There is a great deal of silo working and different ways of working at head office. This makes it very difficult for people to work effectively across the organisation. Bad behaviour and poor performance is not challenged enough and seems to be actively promoted and rewarded. HR could do more when it comes to tackling these issues. The constant stream of restructuring teams but not actually removing problem people from...,Charities,1275,2017,2017-09-30
Cancer Research UK,"Oct 2, 2017",4,"Very friendly manager, made it clear what tasks to get done",Manager sometimes doesn't come in,Charities,1276,2017,2017-10-02
Cancer Research UK,"Oct 4, 2017",5,working at cancer research is amazing you get to learn the basic start of the cause and understand what its like to people who work in these shops,although there a lot of procedures that are not necessary,Charities,1277,2017,2017-10-04
Cancer Research UK,"Oct 8, 2017",1,None come to mind - a very bad experience.,"Management completely detached from teams they are supposedly responsible for. 
Lots of pressure and no support or direction.
Said to be a charity supporting this illness. I suffered with mental health problems during my time there and had no support off staff or management, despite bringing this to their attention and seeking advice and support I was told would be available, but wasn’t",Charities,1278,2017,2017-10-08
Cancer Research UK,"Oct 10, 2017",3,"Great Intern environment
Lots of training sessions and inductions
Can be challenging
A great introduction to working life","Experience can vary depending on team
Must be proactive 
Management a little stale
Team politics can be difficult to manage",Charities,1279,2017,2017-10-10
Cancer Research UK,"Oct 13, 2017",5,Hugely motivated colleagues; lots of opportunities to develop skills as is a large organisation,Very large complex organisation - with all the challenges that brings around eg silo working.  Will be moving head office from Angel to Stratford in a couple of years so concerns about brain drain!,Charities,1280,2017,2017-10-13
Cancer Research UK,"Oct 19, 2017",5,"Great people, great cause, good fun.",Not too sure about salary as I was a volunteer.,Charities,1281,2017,2017-10-19
Cancer Research UK,"Oct 21, 2017",5,Love the culture and environment. Very strong and supportive managers. Very people focused and keen to develop staff to meet their full potential.,"Salary fairly low, although comparable with others in the same sector.  Change of head office location an interesting decision which has resulted in some people moving on.",Charities,1282,2017,2017-10-21
Cancer Research UK,"Oct 24, 2017",3,"Flexibility
Decent salary
Amount of annual leave
Permanent contracts (for some)
Central office location","Micromanagement
Unnecessary drama
Could do with fewer line managers
Lots of bureaucracy 
Moving to Stratford",Charities,1283,2017,2017-10-24
Cancer Research UK,"Oct 28, 2017",4,"- Great working environment and office 
- Friendly, supportive culture
- Excellent brand, exciting projects 
- Great cause and purpose
- Excellent work/life balance","- Too much duplication of roles and projects - not enough rigour in applying the strategy
- Siloed and poor communication 
- Not enough focus on efficiency and effectiveness, slight empire building mentality internally
- Poor pay progression 
- Flattened hierarchy made it difficult to progress
- Flexible working opportunities were very inconsistent/unbalanced, especially for those without kids",Charities,1284,2017,2017-10-28
Cancer Research UK,"Nov 2, 2017",4,Very good staff who are happy to help you with training. Positive working environment.,I can't think of any,Charities,1285,2017,2017-11-02
Cancer Research UK,"Nov 3, 2017",5,"Warm and friendly working environment
Flexibility and the opportunity to travel
Loads of support from colleagues","Can involve working long and hard days
Flexibility of role can impair planning things in the long-term",Charities,1286,2017,2017-11-03
Cancer Research UK,"Nov 8, 2017",2,"Great team within shop, supporting worthy charity.","Little or no support from area or regional management, when issues were raised they're dismissed without action or support of any kind. 
Expected to open shop for 8.5 hours plus open and close, which means paid for 7 hours but at work for minimum 9 hours with little or no chance of breaks as many volunteers are not comfortable to be left alone to manage shop.
 All for minimum wage.",Charities,1287,2017,2017-11-08
Cancer Research UK,"Dec 2, 2017",4,"kind people, always there when you need them. Everyone looks out for each other/",stressful fast paced environment at times,Charities,1288,2017,2017-12-02
Cancer Research UK,"Dec 7, 2017",5,"Working for a great cause and the people are wonderful. The location in London is in Angel, which is in the heart of Islington.",Because it's a charity the salaries can be quite low. Being promoted can also be very political often times they will have people in mind who they want to be Heads and Senior Managers.,Charities,1289,2017,2017-12-07
Cancer Research UK,"Dec 14, 2017",4,"Operates in the same sophisticated way as a large corporate but with an inspiring course
Good development projects if you prove to be talented
Digitally enhanced","Bound by red tape at times
Dwindling innovation approach
Politics",Charities,1290,2017,2017-12-14
Cancer Research UK,"Dec 29, 2017",4,"Flexible working hours
Very laidback approach",No cons about the company itself,Charities,1291,2017,2017-12-29
Cancer Research UK,"Jan 4, 2018",5,"Collaborative environment, friendly people, inspiring workplace",Communication is sometimes lost at CRUK,Charities,1292,2018,2018-01-04
Cancer Research UK,"Feb 8, 2018",1,My staff and customers.,"Let manager's manage. Too many upper management sticking their noses in. Induction training was so poor, I spent most of my training on the till or hanging/sorting clothes. When I actually went to my store I was made to look a complete idiot in front of the volunteers and staff. The ASM would stand in the sorting room really laying into me verbally in front of the staff. I was even swore at also. That was when I was trying...",Charities,1293,2018,2018-02-08
Cancer Research UK,"Feb 12, 2018",3,"Good experience, changing stock, tidying etc",No pay and long hours which is tiring,Charities,1294,2018,2018-02-12
Cancer Research UK,"Feb 14, 2018",1,"Great people
Fantastic Cause
Flexible Working
Great Location","Following many many restructures, the Technology Department has lost key, skilled staff without any attempt to keep them. Knowledge is walking out the door daily and the main concern for the new CIO is Equality, Diversity & Inclusion when there is no issue with this at CRUK.",Charities,1295,2018,2018-02-14
Cancer Research UK,"Feb 20, 2018",3,"Nice colleagues and working environment, mostly interesting work","Below market salary, difficult to progress, projects can be slow moving and frustrating",Charities,1296,2018,2018-02-20
Cancer Research UK,"Feb 23, 2018",5,Working to save lives is a great job,"Head office is moving to Stratford, East London",Charities,1297,2018,2018-02-23
Cancer Research UK,"Feb 26, 2018",2,"Great cause
Funds truly world leading science, leading to major breakthroughs
Lots of scope for internal movement, lots of variety
Often feels like a real national movement (e.g. Race for Life)","Complexity of organisational agenda isn't matched by level of suitably integrated organisation
Senior leadership don't talk to rank and file, seem to live in a bubble",Charities,1298,2018,2018-02-26
Cancer Research UK,"Feb 28, 2018",5,Staff are friendly and always willing to help. Extra work is appreciated.,Not any concerns working as a volunteer in the Cancer Research UK charity shop. Safety is valued.,Charities,1299,2018,2018-02-28
Cancer Research UK,"Feb 28, 2018",3,"Good team work , sence of purpose , nice atmosphere",Too many re organisations hence low retention,Charities,1300,2018,2018-02-28
Cancer Research UK,"Mar 2, 2018",5,"Choose the hours that work around your schedule
Trust and responsibility given to you
Other volunteers and managers are extremely welcoming and friendly",None that I can think of,Charities,1301,2018,2018-03-02
Cancer Research UK,"Mar 6, 2018",3,"Work with very talented and motivated scientists with a clear common goal and vision. 
Excellent set up with the MCRC bringing together three very powerful disciplines in cancer research, Manchester.",My salary in particular is not competitive.,Charities,1302,2018,2018-03-06
Cancer Research UK,"Mar 18, 2018",3,"There's a real variety in workload and there are opportunities to progress and move around departments IF you want to take them and experience different parts of the organisation. 

There's a lot of passion and drive amongst the work force.  It's a fast paced environment but also relaxed and welcoming.

Reasonable work life balance, with opportunities for flexible working if needed.","Terrible at succession planning.  Colleagues often have to pick up workload of departing staff as roles aren't always back filled. 

Constant restructures 

Senior Managers not always great at communicating strategy.  Departments often work in silos and don't communicate or collaborate. 

Lots of stakeholders and management layers mean sign off on decision making can be slow.",Charities,1304,2018,2018-03-18
Cancer Research UK,"Apr 2, 2018",3,"Some great people, making a real contribution to beating cancer",Tech dept a mess and getting worse,Charities,1305,2018,2018-04-02
Cancer Research UK,"Apr 5, 2018",3,"Great cause
Dedicated and caring staff",Stunted progression if older than 20 something,Charities,1306,2018,2018-04-05
Cancer Research UK,"Apr 12, 2018",1,"Hmm, there are some genuinely great people in the organisation. Hard-working, approachable, super friendly. 
The culture of the organisation is laid back.","Technology department is on a steep downward slope. There is very little good leadership in this department and it feels like work is done just for the sake of it. 
Favoured members of staff who are playing the game.",Charities,1307,2018,2018-04-12
Cancer Research UK,"Apr 16, 2018",4,"Pension and reward scheme. Working with a great diverse team, meeting like minded people with the aim of providing vital funds for research",The progression chain can be political as well as personal preference. If your face doesn’t fit you may not progress,Charities,1308,2018,2018-04-16
Cancer Research UK,"Apr 17, 2018",5,"Salary, management, company culture, science",Objectives are sometimes not very clear,Charities,1309,2018,2018-04-17
Cancer Research UK,"Apr 18, 2018",5,"Brilliant staff, make friends with the regular customers",Get busy and hot,Charities,1310,2018,2018-04-18
Cancer Research UK,"Apr 18, 2018",5,"Fantastic culture in the teams I have worked in
Wonderful cause and feel like I’m making a difference
Brilliant people
Great opportunities to develop 
Strong strategy to impact on the ultimate cause of beating cancer sooner","Some bureaucracy in some areas of the business cause barriers
Red tape often prevents things from getting done quickly
Culture of not holding people to account at times",Charities,1311,2018,2018-04-18
Cancer Research UK,"Apr 28, 2018",3,"This is a world class research organisation. Had the privilege to meet and work with so many fantastic and dedicated people in various departments at their HQ in Angel, London. Some amazing and wonderful characters are there.","Not all, but some managers and senior managers within Technology appear to lack the ability to motivate IT staff. The IT management and some IT staff have sometimes clubbed together to pull people down. Some of the IT staff have acted badly towards others on more than one occasion. On top of this their is a weakness in device infrastructure, resulting in having repeated end user IT issues, which I’m sure CRUK know they...",Charities,1312,2018,2018-04-28
Cancer Research UK,"May 1, 2018",5,"Friendly and nice atmosphere, excellent volunteer scheme.","Limited Career progression, sometimes expected to work overtime.",Charities,1313,2018,2018-05-01
Cancer Research UK,"May 6, 2018",5,Friendly team easy to get the hang of the way the shop works,Limited volunteers and resources,Charities,1314,2018,2018-05-06
Cancer Research UK,"May 22, 2018",4,"Very friendly staff
Flexible hours",Shortage of staff/volunteers at times,Charities,1315,2018,2018-05-22
Cancer Research UK,"Jun 1, 2018",4,All staff are committed to finding a cure for cancer.,Senior Management have a problem with communication and lack thereof.,Charities,1316,2018,2018-06-01
Cancer Research UK,"Jun 5, 2018",5,"Proud To go to work everyday
Seriously talented colleagues 
Interesting work",Challenges that come with working in any large scale organisation,Charities,1317,2018,2018-06-05
Cancer Research UK,"Jun 7, 2018",4,Good environment and good colleagues.,Some shops are small,Charities,1318,2018,2018-06-07
Cancer Research UK,"Jun 12, 2018",3,Get lots of experience doing different things.,"Changes a lot, little stability.",Charities,1319,2018,2018-06-12
Cancer Research UK,"Jun 17, 2018",5,"Treat employees very well, enjoyable",Did not encounter any cons,Charities,1320,2018,2018-06-17
Cancer Research UK,"Jun 19, 2018",4,"Great work life balance, friendly colleagues and very sociable workplace.

At the forefront of the charity sector. 

Lots of opportunities to try new roles e.g. secondments and moving between teams",Can be difficult to get things done because the organisation is so big!,Charities,1321,2018,2018-06-19
Cancer Research UK,"Jun 26, 2018",5,Great atmosphere with engaging and inspiring collegies. Good additional benefits and the hours are very reasonable. The graduate scheme is a great way to learn how the organisation works.,The pay is the biggest con of cancer research uk. As it is a charity it is clearly much lower than most comparable companies.,Charities,1322,2018,2018-06-26
Cancer Research UK,"Jul 11, 2018",5,"staff are friendly
can buy items you want",sometimes shop is quiet so working at till can be boring,Charities,1323,2018,2018-07-11
Cancer Research UK,"Jul 14, 2018",4,Everytime that I volunteer at Cancer research  I feel as though I am appreciated.,"The shop I work in is a little small, can feel a little chlostaphobic.",Charities,1324,2018,2018-07-14
Cancer Research UK,"Aug 3, 2018",2,"32 days holidays
80% salary for 1yr on maternity after 12months of service
laid back atmosphere in this particular group","lack of support and training
low salary
yearly, lengthy and repetitive review system for percentage based promotion-max 8%",Charities,1325,2018,2018-08-03
Cancer Research UK,"Aug 10, 2018",5,"Was nice atmosphere, nice people to work with",None really i enjoyed volenteering,Charities,1326,2018,2018-08-10
Cancer Research UK,"Aug 14, 2018",4,Work life balance is excellent,Salary is lower than desired,Charities,1327,2018,2018-08-14
Cancer Research UK,"Aug 15, 2018",4,"- I know it differs from shop to shop, but the other volunteers and assistants/managers were lovely to work with. Everyone was very supportive of each other. My coworkers made me enjoy my time here.

- The tasks were always varied, and each day was different so it was difficult to get bored.

- I was a volunteer so this may not be the case for paid employees, but the hours were very flexible and managers were really...","- Not much chance for career progression

- Apparently, the pay is pretty poor but this wasn't relevant to me

- Head office could be strict about certain things unnecessarily

- Some customers could be very difficult but that comes with working in customer service!",Charities,1328,2018,2018-08-15
Cancer Research UK,"Aug 17, 2018",5,"It’s amazing to be part of something where you really feel you are making a difference to the world.  Everyone’s lives are touched by cancer, and CRUK is at the forefront, globally, of the work to beat it.
Of course those that work with the research scientists feel closest to it, but even here in the Technology department, I feel I’m part of that mission.

I also love how smart and passionate so many of my colleagues...","The turnover is really high - in common with the rest of the charity sector - so there’s a continuous cycle of recruitment, on-boarding and knowledge transfer which can get a bit tiring.  And sometimes the people who leave for the commercial sector realise after they’ve gone that the extra pay isn’t worth the extra hours and pressure.",Charities,1329,2018,2018-08-17
Cancer Research UK,"Aug 23, 2018",4,Can be good for collaboration. Groups have a lot of independence so this is good if you are working in a group with good management.,Not many opportunities for career progression.,Charities,1330,2018,2018-08-23
Cancer Research UK,"Aug 27, 2018",4,"Passionate people
Chance to innovate in your role
Lots of expert professionals to learn from
Opportunity to expand experience by moving internally","Some roles quite narrow focus due to size of organisation
Lots of good people so competitive for career progression",Charities,1331,2018,2018-08-27
Cancer Research UK,"Aug 28, 2018",5,Great people with a fantastic atmosphere and it was all for a good cause,Not much room for career progression,Charities,1332,2018,2018-08-28
Cancer Research UK,"Sep 3, 2018",3,"Good development potential, nice academic environment","Too low salary, strange cross-recovery policy and time-wasting assignment.",Charities,1333,2018,2018-09-03
